,User_Country_Name,Active,Cancelled,Sum,Performance
0,Norway,2420,5958,8378,28
1,France,961,2300,3261,29
2,Philippines,880,1952,2832,31
3,United Kingdom,1782,3966,5748,31
4,Japan,1897,3931,5828,32
5,New Zealand,1366,2739,4105,33
6,Spain,992,1855,2847,34
7,Brazil,1112,2049,3161,35
8,Italy,1195,2108,3303,36
9,Thailand,1111,1738,2849,38
10,Singapore,927,1460,2387,38
11,South Korea,1442,2174,3616,39
12,Australia,2041,3167,5208,39
13,United States,1347,2105,3452,39
14,Germany,1553,2220,3773,41
15,Canada,1553,2206,3759,41
16,Hong Kong,1436,1919,3355,42
17,India,1256,1400,2656,47
18,Mexico,1028,1116,2144,47
19,Ireland,1680,1487,3167,53
